breadcrumb,title,description,address,monthly_rent,monthly_aconto,move_in_price,available_from,rental_period,Boligtype,Størrelse,Værelser,Etage,Møbleret,Delevenlig,Husdyr tilladt,Elevator,Seniorvenlig,Kun for studerende,Altan/terrasse,Parkering,Opvaskemaskine,Vaskemaskine,Ladestander,Tørretumbler,Lejeperiode,Ledig fra,Månedlig leje,Aconto,Depositum,Forudbetalt husleje,Indflytningspris,Oprettelsesdato,Sagsnr.,energy_mark_src,Energimærke 
Hjem > Lejligheder > København > 7 værelses > København Ø > Hjem > Lejligheder > København > 7 værelses > København Ø,Herskabelig smuk lejlighed,"Smuk og præsentabel hjørnelejlighed lige ved Kastellet. Lejligheden ligger i høj stueetage og har 4 store lyse stuer en-suite og 3 gode værelser - alle med højt til loftet og stuk. Spisekøkken med alle hvidevarer. 2 flisebadeværelser med brus, vaskebord, gulvvarme og ventilation - det ene også med vaskesøjle. Nymalet overalt. Smukke afhøvlede og lakerede gulve. Ejendommen har mondæn opgang og der er stort pænt fælles gårdanlæg med beplantning. Gode parkeringsmuligheder. Gå-afstand til Langelinje, Kastellet og Nyhavn. Ingen husdyr. Lejligheden udlejes ikke som delelejlighed.","I går, Østbanegade, 2100 København, København Ø  - Stuen",27.500 kr.,0 kr.,192.500 kr.,1. oktober 2024,192.500 kr.,Lejlighed,265 m²,7.0,Stuen,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,1. oktober 2024,27.500 kr.,0 kr.,82.500 kr.,82.500 kr.,192.500 kr.,6.9.2024,5455218,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 3 værelses > Vallensbæk Strand > Hjem > Lejligheder > København > 3 værelses > Vallensbæk Strand,Hyggelig 3-værelses i stueplan,"Denne fine nyere lejlighed byder på et stort køkken-alrum/ stue med direkte udgang til boligens terrasse.  Et rummeligt  badeværelse med seperat bruseniche og vaskemaskine og tørretumbler. Herudover har boligen to gode soveværelser i hver sin ende af boligen.

Lejligheden har alle de hårde hvidevarer man kan forvente i en nyere lejligheder.

Parkeringspladser i kælder eller terræn kan tilkøbes separat.

I nærområdet findes skole, institutioner, supermarkeder, diverse madsteder og butikker, s-tog station, den kommende letbane, samt meget andet.","I går, Dagmarhaven, 2665 København, Vallensbæk Strand  - Stuen",11.500 kr.,1000 kr.,58.500 kr.,1. oktober 2024,58.500 kr.,Lejlighed,79 m²,3.0,Stuen,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,Ubegrænset,1. oktober 2024,11.500 kr.,1.000 kr.,34.500 kr.,11.500 kr.,58.500 kr.,6.9.2024,5455216,/static/images/energy_labels/A20_str2.png,
Hjem > Lejligheder > København > 3 værelses > København Sv > Hjem > Lejligheder > København > 3 værelses > København Sv,3 værelses lejlighed på Alliancevej i København SV udlejes,"Denne unikke lejlighed med beliggenhed i Sydhavn er fordelt på 94 kvm.
Lejligheden består af 2 soveværelser, et stort køkkenalrum med naturligt
lysindfald, et rummeligt badeværelse. Fra lejlighedens altan kan du nyde det
smukke kig til vandet.  
  
Teglporten er beliggende i det pulserende og hurtigt udviklende kvarter
København SV. Dette område kombinerer moderne byliv med naturskønne
omgivelser, hvilket gør det til et attraktivt valg for både par, familier og
studerende. For familier med børn er der flere skoler og daginstitutioner i
nærheden, hvilket kan bidrage til en praktik og nem hverdag.  
  
Fra Teglporten er der let adgang til et væld af forskellige
transportmuligheder. Fra ejendommen kan du nemlig transportere dig rundt i
resten af København og omegn via Metro, Bus og ikke mindst Havnefærgen. Blot 3
minutter væk på cykel, er den nyopførte Enghave Brygge Metro st. beliggende.
Herfra har du rejse med Metroen via linje M4, til København H på blot 4
minutter. Ønsker du at rejse med bus så kan du køre med bus 7A, som er
beliggende blot 250 meter væk fra ejendommen.  
  
Alle boligerne i ejendommen er lyse og rummelige med et centralt opholdsrum og
åbent køkken, spiseplads, opholdsstue med store vinduer og udgang til altan.
Flere boliger i stueetagen har både terrasse mod gården og altan mod gaden /
vandet, mens en stor del af de øvrige lejligheder har to altaner.
Materialevalget er lyst og i god kvalitet med bl.a. massive egetræsgulve fra
Junckers, Unoform køkkener og Siemens hvidevarer.

  
Teglporten er Teglholmens absolut bedst beliggende boligbebyggelse, på det
sydøstligste hjørne af Teglholmen og med to facader direkte mod havnebassinets
kajkant og en facade ud til en af de nyanlagte kanaler. Teglporten opføres som
en 4–7 etagers karré bebyggelse i tre typer teglsten og med halvt inde
liggende altaner, der giver et spændende og dynamisk facadeudtryk. Boligerne
indrettes i varierende størrelse med hovedvægt på familievenlige indretninger
og optimal udnyttelse af den gode beliggenhed direkte ud til havnen.
Teglporten er tegnet af Danielsen Architecture, der har lagt vægt på at husets
facader får et sammensat, men homogent udtryk, der i samspil med promenaden
foran huset, gårdhaven og kanalerne, danner grundlag for ophold og leg.","I går, Alliancevej, 2450 København, København SV  - 2. sal",16.975 kr.,1137 kr.,86.012 kr.,1. december 2024,86.012 kr.,Lejlighed,94 m²,3.0,2.,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ubegrænset,1. december 2024,16.975 kr.,1.137 kr.,50.925 kr.,16.975 kr.,86.012 kr.,6.9.2024,5455215,/static/images/energy_labels/A10_str2.png,
Hjem > Værelser > København > 1 værelses > Skodsborg > Hjem > Værelser > København > 1 værelses > Skodsborg,"Udsigt, luft og natur.","Vi udlejer tre fantastiske værelser i vores hus. 
2 private værelser er beliggende i adskilt 100 kvm stor selvstændig lejlighed på 1. sal med udsigt over Øresund og Dyrehaven, samt et stort privat værelse på 2. sal med udsigt over Øresund. 

OBS: Værelset på billederne er ledigt og er beliggende på 1. sal med privat balkon. 
Det er ledigt fra 1/10 2023.

Det er smukke lyse værelser, nymalet og med nyere gulve. 
Til værelserne hører et stort fællesrum med tv-stue, spiseplads, køkken med opvaskemaskine og større terrasse udover Øresund. Til værelserne hører ligeledes eget toilet og bad, vaske- og tørretumbler fra 2023.
 
Prisen pr. måned pr. værelse er 7.500,- Lejen er inklusiv forbrug samt fibernet.
Værelserne udlejes kun til 1 person pr. værelse.

Der går en bus lige udenfor døren. Herudover ligger skodsborg station 10 min gang fra huset. Fra stationen er der ca. 20 min til Københavns Hovedbanegård med Reginoaltoget der ""kun"" stopper på få stationer.","I går, Skodsborg Strandvej, 2942 København, Skodsborg  - 1. sal",7.500 kr.,0 kr.,22.500 kr.,Snarest muligt,22.500 kr.,Værelse,12 m²,1.0,1.,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ubegrænset,Snarest muligt,7.500 kr.,0 kr.,7.500 kr.,7.500 kr.,22.500 kr.,6.9.2024,5355115,/static/images/energy_labels/E_str2.png,
Hjem > Værelser > København > 1 værelses > København K > Hjem > Værelser > København > 1 værelses > København K,Værelse udlejes i centrum af Cph,"Jeg er en kvinde og til være dag arbejder som coach og personlig træner. I fitnesscenter i Kbh 
Jeg søger romme til  et møbleret værelse (seng,sofabord,lampe,tøjskab) i min 4 værelses lejlighed. Værelse kun  til en person alder og køn er uvæsentligt.
Du skal være 
ikke ryger
uden børn 
og uden husdyr.
Det er vigtigt for mig at du er renlig, især i fælles arealerne.","I går, Bredgade, 1260 København, København K  - 4. sal",5.500 kr.,0 kr.,11.000 kr.,1. oktober 2024,11.000 kr.,Værelse,18 m²,1.0,4.,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,12-23 måneder,1. oktober 2024,5.500 kr.,0 kr.,5.500 kr.,0 kr.,11.000 kr.,6.9.2024,4417200,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 3 værelses > Frederiksberg > Hjem > Lejligheder > København > 3 værelses > Frederiksberg,"Dejlig lys, varm og stille lejlighed i hyggeligt område med nem adgang til indkøb og offentlig transport","Huslejen er inkl. vand og varme og ekskl. el.
P-plads i aflåst kælder kan tilkøbes for 750 kr./mdr.
Fleksibel indflytningsdato.

Varm lejlighed. Rummene er godt indrettet med masser af plads og dejligt lysindfald.
Tæt på metro (ligger lige mellem Fasanvej st. og Lindevang st.).
Mange indkøbsmuligheder tæt på. 10 min til Frederiksberg Centret","I går, Wilkensvej, 2000 København, Frederiksberg  - 3. sal",17.750 kr.,250 kr.,89.000 kr.,22. november 2024,89.000 kr.,Lejlighed,86 m²,3.0,3.,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,1-11 måneder,22. november 2024,17.750 kr.,250 kr.,53.250 kr.,17.750 kr.,89.000 kr.,6.9.2024,5403707,/static/images/energy_labels/B_str2.png,
Hjem > Lejligheder > København > 4 værelses > Taastrup > Hjem > Lejligheder > København > 4 værelses > Taastrup,Lækker lejlighed m/elevator,Centralt beliggende i bygaden overfor Tåstrup S-station udlejes 135 kvm. med lukket altan. Lejligheden er indrettet med 2 stuer og 2 værelser. Nyere køkken med alle hårde hvidevarer samt spiseplads. Badeværelse med brus og gæstetoilet. Der er parketgulve overalt i lejligheden. Ejendommen har porttelefon samt vaskeri. Ingen husdyr. Lejligheden udlejes ikke som delelejlighed.,"I går, Taastrup Hovedgade, 2630 København, Taastrup  - 3. sal",11.900 kr.,0 kr.,83.300 kr.,Snarest muligt,83.300 kr.,Lejlighed,135 m²,4.0,3.,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,11.900 kr.,0 kr.,35.700 kr.,35.700 kr.,83.300 kr.,6.9.2024,622290,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 7 værelses > Valby > Hjem > Lejligheder > København > 7 værelses > Valby,Bo på toppen af gammel fabrik i valby,"Lejlighed med 5 gode værrelser, + køkken/alrum og kæmpe stue på 55 m2

Supefed udsigt over Valby værkstedby.

På toppen af en gammel tidligere fabrik udlejes denne specielle delevenlige lejlighed Newyorker artig - lidt rå, 10 minutters gang fra Metro station (København Syd)

Den er af kommunen godkendt til blandet bolig og erhverv, så i har mulighed for arbejde og bo samne sted.

Mulighed for at leje parkering i gården","I går, Værkstedvej, 2500 København, Valby  - 2. sal",25.000 kr.,2500 kr.,102.500 kr.,1. oktober 2024,102.500 kr.,Lejlighed,160 m²,7.0,2.,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,Ubegrænset,1. oktober 2024,25.000 kr.,2.500 kr.,75.000 kr.,0 kr.,102.500 kr.,6.9.2024,5455204,/static/images/energy_labels/D_str2.png,
Hjem > Værelser > København > 1 værelses > Hellerup > Hjem > Værelser > København > 1 værelses > Hellerup,I hjertet af Hellerup,"Et værelse ca 30 kvm fuld møbleret rillede til en person
Der er adgang ril køkkenet og bad
Nær offentlig transport, DTU og strand. Udlejes til studerende og til pendler.","I går, Gjørlingsvej, 2900 København, Hellerup  - 2. sal",6.500 kr.,1300 kr.,33.800 kr.,1. oktober 2024,33.800 kr.,Værelse,30 m²,1.0,2.,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,24+ måneder,1. oktober 2024,6.500 kr.,1.300 kr.,13.000 kr.,13.000 kr.,33.800 kr.,6.9.2024,5455189,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 3 værelses > Kongens Lyngby > Hjem > Lejligheder > København > 3 værelses > Kongens Lyngby,"Lys gavllejlighed, skønne naturomgivelser, tæt på Lyngby centrum","Super lækker lejlighed med udsigt til Sorgenfri Slotshave og ejenkommens grønne arealer. 
Stue med spiseafdeling og karnap, stor TV stue eller børneværelse, spisekøkken, soveværelse med indbyggede skabe, stort badeværelse m hvidevarer. 
Nyd solen på den store vestvendte vinkelaltan. Privat P-plads. Klar til ladestander. Dørtelefon. Elevator. Opbevaringskælder.","I går, Dronningens Vænge, 2800 København, Kongens Lyngby  - 1. sal",19.900 kr.,1380 kr.,100.880 kr.,Snarest muligt,100.880 kr.,Lejlighed,105 m²,3.0,1.,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,24+ måneder,Snarest muligt,19.900 kr.,1.380 kr.,59.700 kr.,19.900 kr.,100.880 kr.,6.9.2024,5272951,/static/images/energy_labels/C_str2.png,
Hjem > Værelser > København > 1 værelses > Frederiksberg > Hjem > Værelser > København > 1 værelses > Frederiksberg,3 værelser,Min lejlighed har 3 gode værelser samt nyere køkken og bad med separat brus. Værelserne udlejes enkeltvis på separate lejeaftaler.,"I går, Bentzonsvej, 2000 København, Frederiksberg  - 2. sal",7.000 kr.,0 kr.,21.000 kr.,1. oktober 2024,21.000 kr.,Værelse,13 m²,1.0,2.,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,1-11 måneder,1. oktober 2024,7.000 kr.,0 kr.,14.000 kr.,0 kr.,21.000 kr.,6.9.2024,5455196,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 3 værelses > Gentofte > Hjem > Lejligheder > København > 3 værelses > Gentofte,Charmerende lejemål i hjertet af Gentofte,Lys og indbydende lejlighed mindre ejendom beliggende i hjertet af Gentofte. Lejemålet har to værelser mod gaden og et mod gården.,"I går, Baunegårdsvej, 2820 København, Gentofte  - Stuen",12.800 kr.,600 kr.,90.200 kr.,Snarest muligt,90.200 kr.,Lejlighed,96 m²,3.0,Stuen,Nej,Ja,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ubegrænset,Snarest muligt,12.800 kr.,600 kr.,38.400 kr.,38.400 kr.,90.200 kr.,6.9.2024,5455193,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 4 værelses > Dragør > Hjem > Lejligheder > København > 4 værelses > Dragør,Charmerende istandsat hus i den gamle by,"Charmerende hus i den gamle by i Dragør. 

Huset ligger privat og tilbagetrukket fra Lodsstræde med den gamle bys største have, som man deler med naboen. 

Huset indeholder stue og køkken i stue etagen samt 3 soveværelser på første sal. Huset ligger perfekt i forhold til sol.

Huset udlejes møbleret fra 3 til 12 mdr.","I går, Lodsstræde, 2791 København, Dragør  - Stuen",15.000 kr.,1500 kr.,61.500 kr.,Snarest muligt,61.500 kr.,Lejlighed,95 m²,4.0,Stuen,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,1-11 måneder,Snarest muligt,15.000 kr.,1.500 kr.,30.000 kr.,15.000 kr.,61.500 kr.,6.9.2024,5388483,/static/images/energy_labels/D_str2.png,
Hjem > Lejligheder > København > 3 værelses > København Ø > Hjem > Lejligheder > København > 3 værelses > København Ø,Fully Furnished Expat Home from October 2024,"All incl. Fully furnished Home With Soul and Character available from October 1st 2024. The price incl. water, heat, gas, electricity, washing cloth and Internet. The apartment is 5 min walk from 2 different metro stations, 2 min walk from a park and 15 min bike distance from Tivoli.

-3 rooms, fully furnished, 73 sq.m.
-Internet
-A Dishwasher
- A Washing machine 
-A fireplace
-possibility to wash and dry clothes in the basement and a bit more.

The apartment is FOR ONE PERSON ONLY and NOT FOR SHARING.

I look forward to your inquiries, which can be a part and apologize in advance if I only focus on those that of interest. I will do my best to answer everyone.

best wishes,
Tatiana 

FULD MØBELERET LEJLIGHED INKL. ALT OCTOBER 2024

Kære alle,
Lejligheden er på 73 kv.m. inkl. tæt på alt.
-3 værelser, fuldt møbleret 
-Internet
-opvaskemaskine
- vaskemaskine
- tørretumbler
-brændeoven
-mulighed for at vaske og tørre tøj i kælderen og lidt mere.  

Prisen inkl. vand, el, gas, varme, Internet og tøjvask. 

Lejligheden udlejers KUN til EN lejer ro må ikke deles med andre. 

Glæder mig til jeres henvendelser, hvilket kan være en del og beklager på forhånd, hvis jeg kun holder fokus på dem, som vækker interesse. Jeg vil gøre min bedste med at besvare alle. 

Kh,
Tatiana","I går, Hildursgade, 2100 København, København Ø  - 1. sal",15.500 kr.,0 kr.,62.000 kr.,1. oktober 2024,62.000 kr.,Lejlighed,74 m²,3.0,1.,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,1-11 måneder,1. oktober 2024,15.500 kr.,0 kr.,31.000 kr.,15.500 kr.,62.000 kr.,6.9.2024,5455182,/static/images/energy_labels/D_str2.png,
Hjem > Lejligheder > København > 2 værelses > Vanløse > Hjem > Lejligheder > København > 2 værelses > Vanløse,Rummelig 3-værelses lejlighed med egen terrasse centralt placeret i Vanløse tæt på Shopping og offentlig transport,"Boligen:

Alle boliger har velindrettede planløsninger hvor udsigten og lyset er i centrum. Her er store vinduespartier, pæne parketgulve, lyse HTH-køkkener og rummelige badeværelser. Flere af boligerne har terrasse eller altan. Boligerne varierer i størrelse fra 1 – 5 værelser og nogle boliger er i flere plan.

Ejendommen:

Kronen Shoppingcenter er centralt placeret i Vanløse og på toppen findes 118 moderne boliger med udsigt, en usædvanlig ro og grønne gårdhaver. Boligerne fås i alle størrelser, lige fra rækkehuset til den store børnefamilie og studios til den yngre generation. Boligerne er placeret i klynger der skaber rum for naboskab og et aktivt liv for børnene og beboerne.

Området:

Som beboer i Tagkronen har du en helt enestående mulighed for at bo top centralt med Metro og S-tog lige foran døren og alligevel i rolige og grønne omgivelser. Med et bredt udvalg af butikker i underetagen og private boliger med udsigt på toppen, bliver det ikke nemmere for dig der har en aktiv hverdag og nyder at slappe af i hjemmelige rammer efter dagens gøremål.","2 dage siden, Vanløse Torv, 2720 København, Vanløse  - 2. sal",15.200 kr.,1000 kr.,77.000 kr.,15. november 2024,77.000 kr.,Lejlighed,80 m²,2.0,2.,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ubegrænset,15. november 2024,15.200 kr.,1.000 kr.,45.600 kr.,15.200 kr.,77.000 kr.,5.9.2024,5268795,/static/images/energy_labels/A10_str2.png,
Hjem > Lejligheder > København > 1 værelses > Vanløse > Hjem > Lejligheder > København > 1 værelses > Vanløse,Rummelig 1-værelses lejlighed centralt placeret i Vanløse tæt på Shopping og offentlig transport,"Boligen:

Alle boliger har velindrettede planløsninger hvor udsigten og lyset er i centrum. Her er store vinduespartier, pæne parketgulve, lyse HTH-køkkener og rummelige badeværelser. Flere af boligerne har terrasse eller altan. Boligerne varierer i størrelse fra 1 – 5 værelser og nogle boliger er i flere plan.

Ejendommen:

Kronen Shoppingcenter er centralt placeret i Vanløse og på toppen findes 118 moderne boliger med udsigt, en usædvanlig ro og grønne gårdhaver. Boligerne fås i alle størrelser, lige fra rækkehuset til den store børnefamilie og studios til den yngre generation. Boligerne er placeret i klynger der skaber rum for naboskab og et aktivt liv for børnene og beboerne.

Området:

Som beboer i Tagkronen har du en helt enestående mulighed for at bo top centralt med Metro og S-tog lige foran døren og alligevel i rolige og grønne omgivelser. Med et bredt udvalg af butikker i underetagen og private boliger med udsigt på toppen, bliver det ikke nemmere for dig der har en aktiv hverdag og nyder at slappe af i hjemmelige rammer efter dagens gøremål.","2 dage siden, Vanløse Torv, 2720 København, Vanløse  - 3. sal",10.650 kr.,600 kr.,53.850 kr.,1. december 2024,53.850 kr.,Lejlighed,41 m²,1.0,3.,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Ubegrænset,1. december 2024,10.650 kr.,600 kr.,31.950 kr.,10.650 kr.,53.850 kr.,5.9.2024,5345125,/static/images/energy_labels/A10_str2.png,
Hjem > Lejligheder > København > 4 værelses > København S > Hjem > Lejligheder > København > 4 værelses > København S,Skøn 4-værelses lejlighed i Ørestad!,"HELT NYE LEJEBOLIGER I ØRESTAD 
– der, hvor grænsen mellem byen og den spirende natur smelter sammen – ligger C.F. Møllers Have. 

156 lejeboliger på 59-95 m2 og 2-4 værelser.

Her kan du bo mellem urbane kvarterer og grønne parker, mellem rislende kanaler og livlige gader. I et hjem med både orangeri, fælles have og gårdrum, fælleslokaler, cykelværksted og et helt anderledes kontorfællesskab.

C.F. Møllers Have er nemlig til dig, der vil have både by og natur.

Til dig, der tager børnene med på Ørestads legepladser og videre på eventyr. Dig, der både vil gå i skoven, gå i butikker og gå til koncert – og gå hen til metroen, der kører til Indre By på 9 minutter og videre til Vesterbro og Nørrebro.

Helt tæt på både indkøb, butikker, daginstitutioner og skoler.

Her kan du møde teamet og få svar på alle dine spørgsmål. Du kan også besøge to prøveboliger og opleve indretningen, materialerne og overfladerne i en 2-værelses og en 3-værelses lejlighed.

Bemærk at billederne er fra vores prøvebolig og viser altså ikke den eksakte bolig. Alle boliger kan ses på projektets hjemmeside. Plantegningen er retvisende for netop denne bolig.","2 dage siden, C.F. Møllers Allé, 2300 København, København S  - 2. sal",15.500 kr.,1000 kr.,78.500 kr.,1. december 2024,78.500 kr.,Lejlighed,94 m²,4.0,2.,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ubegrænset,1. december 2024,15.500 kr.,1.000 kr.,46.500 kr.,15.500 kr.,78.500 kr.,5.9.2024,5384361,none,-
Hjem > Lejligheder > København > 2 værelses > København S > Hjem > Lejligheder > København > 2 værelses > København S,Super delevenlig 2-værelses lejlighed!,"HELT NYE LEJEBOLIGER I ØRESTAD 
– der, hvor grænsen mellem byen og den spirende natur smelter sammen – ligger C.F. Møllers Have. 

156 lejeboliger på 59-95 m2 og 2-4 værelser.

Her kan du bo mellem urbane kvarterer og grønne parker, mellem rislende kanaler og livlige gader. I et hjem med både orangeri, fælles have og gårdrum, fælleslokaler, cykelværksted og et helt anderledes kontorfællesskab.

C.F. Møllers Have er nemlig til dig, der vil have både by og natur.

Til dig, der tager børnene med på Ørestads legepladser og videre på eventyr. Dig, der både vil gå i skoven, gå i butikker og gå til koncert – og gå hen til metroen, der kører til Indre By på 9 minutter og videre til Vesterbro og Nørrebro.

Helt tæt på både indkøb, butikker, daginstitutioner og skoler.

Her kan du møde teamet og få svar på alle dine spørgsmål. Du kan også besøge to prøveboliger og opleve indretningen, materialerne og overfladerne i en 2-værelses og en 3-værelses lejlighed.

Bemærk at billederne er fra vores prøvebolig og viser altså ikke den eksakte bolig. Alle boliger kan ses på projektets hjemmeside. Plantegningen er retvisende for netop denne bolig.","2 dage siden, C.F. Møllers Allé, 2300 København, København S  - 7. sal",13.000 kr.,900 kr.,65.900 kr.,1. oktober 2024,65.900 kr.,Lejlighed,75 m²,2.0,7.,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Nej,Nej,Nej,Ubegrænset,1. oktober 2024,13.000 kr.,900 kr.,39.000 kr.,13.000 kr.,65.900 kr.,5.9.2024,5395106,none,-
Hjem > Lejligheder > København > 4 værelses > Frederiksberg C > Hjem > Lejligheder > København > 4 værelses > Frederiksberg C,"Attraktivt beliggende - herskabelig, elegant møbleret lejl. med altan","Lejligheden er beliggende på 1. sal i velholdt ejendom med elevator og grønt gårdmiljø med legeplads. Gode parkeringsmuligheder og busholdeplads et stenkast fra ejendommen. Gå afstand til  Frederiksberg Have, gode restauranter, caféer, teatre, Metro, samt gode handelsstrøg på Gl. Kongevej, Vesterbrogade og Falkoner Allé.

Lejligheden indeholder entré med indb. garderobeskabe, forstue med indgang til pænt soveværelse med hjemmekontor samt rummeligt, nydeligt badeværelse med god skabsplads, toilet og brusehjørne med glasskærm Desuden pænt køkken med alle hårde hvidevarer, rummeligt master soveværelse med fransk altan og skabsvæg. Rummelig, smukt møbleret opholdsstue/karnap med integreret highend musikanlæg med højttalere og pæne parketgulve. Udgang til altan med dejlig, fri udsigt. Tilstødende spisestue med TV.

Adgang til gode vaskefaciliteter i kælderen samt dejligt, grønt gårdmiljø med borde/bænke og legeplads.

 Ingen dyretilladelse.

Udlejes møbleret fra 15/10 i 1-3 år til expats, virksomheder o.l. 

Ikke bofællesskab.","2 dage siden, Frederiksberg Alle, 1820 København, Frederiksberg C  - 1. sal",18.500 kr.,1200 kr.,75.200 kr.,15. oktober 2024,75.200 kr.,Lejlighed,100 m²,4.0,1.,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,24+ måneder,15. oktober 2024,18.500 kr.,1.200 kr.,55.500 kr.,0 kr.,75.200 kr.,5.9.2024,5381054,/static/images/energy_labels/C_str2.png,
Hjem > Lejligheder > København > 2 værelses > København Ø > Hjem > Lejligheder > København > 2 værelses > København Ø,Eksklusiv udsigtslejlighed med skønt lysindfald i Marmorbyen,"Fra lejlighedens entré, med indbyggede skabe, træder  du ind i den dejlige stue køkken/alrum, med massere af skønt lys. Fra stuen har du adgang til boligens syd-vendte altan, hvorfra du kan nyde udsigten til vandet. Boligens badeværelse er i hvide fliser med vaskemaskine samt tørretumbler.

Lejlighederne varierer i størrelse fra de mindste på 78 m2 til de største på 151 m2 placeret i tårnbygningerne.

Boligerne sikrer med deres høje vinduespartier et fantastisk kig mod vandet og himlen, ligesom der i alle boliger er adgang til tilbagetrukne altaner.

Lejlighederne har mange forskellige planløsninger, der gør det muligt at finde netop den lejlighed, der passer til din livsstil.

Bygningerne følger nordisk byggetradition med enkle linjer og imponerende lysindfald. Fælles for boligerne er store lyse trapperum, entré med skabe og et centralt placeret køkken- og opholdsareal.

Alle boliger har tilknyttet depotrum i enten lejligheden eller kælderen.

Det er muligt at tilvælge leje af underjordiske p-pladser til din bil.

Kontakt udlejer for en fremvisning eller yderligere info","2 dage siden, Marmorvej, 2100 København, København Ø  - 4. sal",17.500 kr.,990 kr.,88.490 kr.,15. oktober 2024,88.490 kr.,Lejlighed,91 m²,2.0,4.,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,Ubegrænset,15. oktober 2024,17.500 kr.,990 kr.,52.500 kr.,17.500 kr.,88.490 kr.,5.9.2024,4611564,none,-
Hjem > Lejligheder > København > 3 værelses > København V > Hjem > Lejligheder > København > 3 værelses > København V,3 værelses lejlighed på Havneholmen i København V udlejes,"Velkommen til Havneholmen, Poseidon!

Poseidon er en prisbelønnet arkitektonisk perle fra 2009. Ejendommen er beliggende i første parket til vandet og er i gåafstand til Bryggebroen og Fisketorvet. Derudover er der få kilometer til Københavns centrum. 

I nærområdet ligger Fisketorvets Shopping center, der rummer alt fra dagligvareindkøb, gode shopping muligheder og et hyggeligt restaurationsmiljø.

Der er busforbindelse til indre by og ellers kan du hurtigt og nemt kommer rundt på cykel. Metroen står færdig i 2024.


Det er muligt at leje en p-plads i ejendommens parkeringskælder til 1645,- pr. måned.
Der kan ansøges om husdyrstilladelse til et husdyr. Hvis husdyret er en hund, må den max veje 35 kg.
Det er ikke tilladt at benytte lejemålet som delebolig.
Der er ikke mulighed for at leje, hvis du er registreret i RKI, derudover er der 3 måneders opsigelse.
Der betales 3 måneders leje i depositum, 1. måneds leje samt 1 måneds forudbetalt leje.

*Bemærk at billederne ikke nødvendigvis er taget af/fra den pågældende lejlighed, og at udsigt m.v. derfor kan variere.

ÅBENT HUS:
 - Søndag den 15. september 2024, kl. 10:15-10:25

OBS: Venligst hold dig opdateret, da der godt kan forekomme ændringer.","2 dage siden, Havneholmen, 1561 København, København V  - 2. sal",18.595 kr.,1200 kr.,94.175 kr.,Snarest muligt,94.175 kr.,Lejlighed,108 m²,3.0,2.,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ubegrænset,Snarest muligt,18.595 kr.,1.200 kr.,55.785 kr.,18.595 kr.,94.175 kr.,5.9.2024,5455166,none,-
